name,last,affiliation,freq,lastfive,dblp,orcid
Peng Huang,Huang,"University of Michigan, Ann Arbor, USA",12,6,https://dblp.org/pid/29/1726-5,https://orcid.org/0000-0001-6315-0848
Peter M. Chen,Chen,"University of Michigan, Ann Arbor, USA",12,0,https://dblp.org/pid/c/PeterMChen,
Matei Zaharia,Zaharia,"Stanford University, CA, USA",12,3,https://dblp.org/pid/36/2133,https://orcid.org/0000-0002-7547-7204
Mao Yang,Yang,"Microsoft Research, Beijing, China",12,10,https://dblp.org/pid/89/1482-4,https://orcid.org/0009-0009-6455-3898
Chris Hawblitzel,Hawblitzel,,11,4,https://dblp.org/pid/22/3053,
Lingxiao Ma,Ma,,11,10,https://dblp.org/pid/57/3203,
Tej Chajed,Chajed,,11,6,https://dblp.org/pid/141/9176,
Marcos K. Aguilera,Aguilera,"VMware, Palo Alto, CA, USA",11,3,https://dblp.org/pid/10/553,https://orcid.org/0000-0003-3489-2468
Vijay Chidambaram,Chidambaram,"University of Texas at Austin, Department of Computer Science, TX, USA",11,5,https://dblp.org/pid/07/10563,https://orcid.org/0000-0001-7985-6087
George Candea,Candea,"Swiss Federal Institute of Technology in Lausanne, Switzerland",11,4,https://dblp.org/pid/c/GeorgeCandea,https://orcid.org/0009-0002-8107-6535
Christoforos E. Kozyrakis,Kozyrakis,"Stanford University, USA",11,0,https://dblp.org/pid/k/ChristoforosEKozyrakis,https://orcid.org/0000-0002-3154-7530
Guoqing Harry Xu,Xu,"University of California, Los Angeles, CA, USA",11,3,https://dblp.org/pid/90/8705,https://orcid.org/0000-0003-4737-2146
David R. Cheriton,Cheriton,"Stanford University, USA",11,0,https://dblp.org/pid/c/DRCheriton,
Baris Kasikci,Kasikci,,10,4,https://dblp.org/pid/31/11029,https://orcid.org/0000-0001-6122-8998
Andreas Haeberlen,Haeberlen,,10,2,https://dblp.org/pid/60/4358,https://orcid.org/0000-0002-3271-8354
Kang Chen,Chen,,10,0,https://dblp.org/pid/91/6670,
Irene Zhang,Zhang,,10,4,https://dblp.org/pid/68/1122,
Sylvia Ratnasamy,Ratnasamy,"University of California, Berkeley, USA",10,2,https://dblp.org/pid/68/5579,
Timothy Roscoe,Roscoe,"ETH Zurich, Switzerland",10,2,https://dblp.org/pid/r/TimothyRoscoe,https://orcid.org/0000-0002-8298-1126
Steve D. Gribble,Gribble,"University of Washington, Seattle, Washington, USA",10,0,https://dblp.org/pid/g/StevenDGribble,https://orcid.org/0000-0002-2624-2142
Ronghui Gu,Gu,"Columbia University, New York, NY, USA",10,7,https://dblp.org/pid/155/8148,
Gerald J. Popek,Popek,"UCLA, Los Angeles, CA, USA",10,0,https://dblp.org/pid/62/6214,
Changwoo Min,Min,,9,6,https://dblp.org/pid/19/10203,
Dan R. K. Ports,Ports,,9,2,https://dblp.org/pid/03/6105,https://orcid.org/0000-0001-6093-5711
Jilong Xue,Xue,,9,8,https://dblp.org/pid/06/10336,
David K. Gifford,Gifford,"MIT, Cambridge, USA",9,0,https://dblp.org/pid/g/DavidKGifford,https://orcid.org/0000-0003-1709-4034
Yang Wang,Wang,"Ohio State University, Columbus, OH, USA",9,4,https://dblp.org/pid/w/YangWang9,https://orcid.org/0000-0002-9721-4923
Madan Musuvathi,Musuvathi,Microsoft Research,9,0,https://dblp.org/pid/95/6578,
Mahadev Satyanarayanan,Satyanarayanan,"Carnegie Mellon University, Pittsburgh, USA",9,0,https://dblp.org/pid/s/MahadevSatyanarayanan,https://orcid.org/0000-0002-2187-2049
John K. Ousterhout,Ousterhout,"Stanford University, USA",9,0,https://dblp.org/pid/o/JohnKOusterhout,
David G. Andersen,Andersen,"Carnegie Mellon University, School of Computer Science, Pittsburgh, PA, USA",9,0,https://dblp.org/pid/a/DavidGAndersen,
Haryadi S. Gunawi,Gunawi,University of Chicago,9,1,https://dblp.org/pid/84/5664,https://orcid.org/0000-0003-3680-8450
Willy Zwaenepoel,Zwaenepoel,"University of Sydney, NSW, Australia",9,1,https://dblp.org/pid/z/WZwaenepoel,https://orcid.org/0000-0002-4182-6920
Ricardo Bianchini,Bianchini,"Microsoft Research, Redmond, WA, USA",9,2,https://dblp.org/pid/85/2722,https://orcid.org/0000-0001-5971-5084
Rachit Agarwal,Agarwal,"Cornell University, NY, USA",9,6,https://dblp.org/pid/41/5447-1,https://orcid.org/0000-0001-6731-9938
Asaf Cidon,Cidon,,8,8,https://dblp.org/pid/35/10805,https://orcid.org/0009-0007-4046-2022
Bryan Parno,Parno,,8,4,https://dblp.org/pid/49/6324,
Adam Belay,Belay,,8,1,https://dblp.org/pid/14/8279,
Kirk Rodrigues,Rodrigues,,8,4,https://dblp.org/pid/188/9963,
Michael Kaminsky,Kaminsky,,8,0,https://dblp.org/pid/09/4259,
K. V. Rashmi,Rashmi,,8,3,https://dblp.org/pid/40/7113,https://orcid.org/0000-0002-2227-7460
Sebastian Angel,Angel,,8,4,https://dblp.org/pid/132/8480,
Ramnatthan Alagappan,Alagappan,,8,4,https://dblp.org/pid/154/0847,https://orcid.org/0000-0001-9911-4208
Srinath T. V. Setty,Setty,,8,1,https://dblp.org/pid/68/8463,
Raluca A. Popa,Popa,"University of California, Berkeley, CA, USA",8,0,https://dblp.org/pid/91/275,https://orcid.org/0000-0001-8899-801X
Sanjay Ghemawat,Ghemawat,Google Research,8,0,https://dblp.org/pid/g/SGhemawat,
Antony I. T. Rowstron,Rowstron,Microsoft Research,8,1,https://dblp.org/pid/r/AITRowstron,https://orcid.org/0009-0009-5936-6895
Zhihao Jia,Jia,,8,6,https://dblp.org/pid/129/3026,
Emin Gün Sirer,Sirer,"Cornell University, Ithaca, USA",8,0,https://dblp.org/pid/s/EminGunSirer,
Mosharaf Chowdhury,Chowdhury,"University of Michigan, USA",8,5,https://dblp.org/pid/42/1518,https://orcid.org/0000-0003-0884-6740
Michael D. Schroeder,Schroeder,Microsoft Research Silicon Valley,8,0,https://dblp.org/pid/s/MichaelDSchroeder,
David A. Patterson,Patterson,"Google, Mountain View, CA, USA",8,0,https://dblp.org/pid/p/DAPatterson,https://orcid.org/0000-0002-0429-1015
Butler W. Lampson,Lampson,"Microsoft Research, Cambridge, MA, USA",8,0,https://dblp.org/pid/l/ButlerWLampson,
Shivaram Venkataraman,Venkataraman,"University of Wisconsin-Madison, WI, USA",8,3,https://dblp.org/pid/65/8569,https://orcid.org/0000-0001-9575-7935
Mendel Rosenblum,Rosenblum,"Stanford University, USA",8,0,https://dblp.org/pid/r/MendelRosenblum,
Kai Li,Li,"Princeton University, NJ, USA",8,1,https://dblp.org/pid/l/KaiLi1,https://orcid.org/0000-0002-2095-7024
Yu Luo,Luo,"University of Toronto, Canada",8,3,https://dblp.org/pid/45/6469-6,
Allen Clement,Clement,Max Planck Institute for Software Systems,8,0,https://dblp.org/pid/17/597,
Jacob R. Lorch,Lorch,"Microsoft Research, Redmond, WA, USA",8,2,https://dblp.org/pid/25/3228,https://orcid.org/0000-0002-7269-2769
Joseph Gonzalez,Gonzalez,"University of California at Berkeley, CA, USA",8,2,https://dblp.org/pid/61/8262,https://orcid.org/0000-0003-2921-956X
Jay Lepreau,Lepreau,"University of Utah, Salt Lake City, Utah, USA",8,0,https://dblp.org/pid/l/JayLepreau,
Michael Walfish,Walfish,"New York University, Courant Institute of Mathematical Sciences, NY, USA",8,1,https://dblp.org/pid/00/2879,
